"symbol","name","symbol_native","decimal_digits","rounding","code","name_plural"
"$","US Dollar","$",2,0,"USD","US dollars"
"CA$","Canadian Dollar","$",2,0,"CAD","Canadian dollars"
"€","Euro","€",2,0,"EUR","euros"
"AED","United Arab Emirates Dirham","د.إ.‏",2,0,"AED","UAE dirhams"
"Af","Afghan Afghani","؋",0,0,"AFN","Afghan Afghanis"
"ALL","Albanian Lek","Lek",0,0,"ALL","Albanian lekë"
"AMD","Armenian Dram","դր.",0,0,"AMD","Armenian drams"
"AR$","Argentine Peso","$",2,0,"ARS","Argentine pesos"
"AU$","Australian Dollar","$",2,0,"AUD","Australian dollars"
"man.","Azerbaijani Manat","ман.",2,0,"AZN","Azerbaijani manats"
"KM","Bosnia-Herzegovina Convertible Mark","KM",2,0,"BAM","Bosnia-Herzegovina convertible marks"
"Tk","Bangladeshi Taka","৳",2,0,"BDT","Bangladeshi takas"
"BGN","Bulgarian Lev","лв.",2,0,"BGN","Bulgarian leva"
"BD","Bahraini Dinar","د.ب.‏",3,0,"BHD","Bahraini dinars"
"FBu","Burundian Franc","FBu",0,0,"BIF","Burundian francs"
"BN$","Brunei Dollar","$",2,0,"BND","Brunei dollars"
"Bs","Bolivian Boliviano","Bs",2,0,"BOB","Bolivian bolivianos"
"R$","Brazilian Real","R$",2,0,"BRL","Brazilian reals"
"BWP","Botswanan Pula","P",2,0,"BWP","Botswanan pulas"
"Br","Belarusian Ruble","руб.",2,0,"BYN","Belarusian rubles"
"BZ$","Belize Dollar","$",2,0,"BZD","Belize dollars"
"CDF","Congolese Franc","FrCD",2,0,"CDF","Congolese francs"
"CHF","Swiss Franc","CHF",2,0.05,"CHF","Swiss francs"
"CL$","Chilean Peso","$",0,0,"CLP","Chilean pesos"
"CN¥","Chinese Yuan","CN¥",2,0,"CNY","Chinese yuan"
"CO$","Colombian Peso","$",0,0,"COP","Colombian pesos"
"₡","Costa Rican Colón","₡",0,0,"CRC","Costa Rican colóns"
"CV$","Cape Verdean Escudo","CV$",2,0,"CVE","Cape Verdean escudos"
"Kč","Czech Republic Koruna","Kč",2,0,"CZK","Czech Republic korunas"
"Fdj","Djiboutian Franc","Fdj",0,0,"DJF","Djiboutian francs"
"Dkr","Danish Krone","kr",2,0,"DKK","Danish kroner"
"RD$","Dominican Peso","RD$",2,0,"DOP","Dominican pesos"
"DA","Algerian Dinar","د.ج.‏",2,0,"DZD","Algerian dinars"
"Ekr","Estonian Kroon","kr",2,0,"EEK","Estonian kroons"
"EGP","Egyptian Pound","ج.م.‏",2,0,"EGP","Egyptian pounds"
"Nfk","Eritrean Nakfa","Nfk",2,0,"ERN","Eritrean nakfas"
"Br","Ethiopian Birr","Br",2,0,"ETB","Ethiopian birrs"
"£","British Pound Sterling","£",2,0,"GBP","British pounds sterling"
"GEL","Georgian Lari","GEL",2,0,"GEL","Georgian laris"
"GH₵","Ghanaian Cedi","GH₵",2,0,"GHS","Ghanaian cedis"
"FG","Guinean Franc","FG",0,0,"GNF","Guinean francs"
"GTQ","Guatemalan Quetzal","Q",2,0,"GTQ","Guatemalan quetzals"
"HK$","Hong Kong Dollar","$",2,0,"HKD","Hong Kong dollars"
"HNL","Honduran Lempira","L",2,0,"HNL","Honduran lempiras"
"kn","Croatian Kuna","kn",2,0,"HRK","Croatian kunas"
"Ft","Hungarian Forint","Ft",0,0,"HUF","Hungarian forints"
"Rp","Indonesian Rupiah","Rp",0,0,"IDR","Indonesian rupiahs"
"₪","Israeli New Sheqel","₪",2,0,"ILS","Israeli new sheqels"
"Rs","Indian Rupee","টকা",2,0,"INR","Indian rupees"
"IQD","Iraqi Dinar","د.ع.‏",0,0,"IQD","Iraqi dinars"
"IRR","Iranian Rial","﷼",0,0,"IRR","Iranian rials"
"Ikr","Icelandic Króna","kr",0,0,"ISK","Icelandic krónur"
"J$","Jamaican Dollar","$",2,0,"JMD","Jamaican dollars"
"JD","Jordanian Dinar","د.أ.‏",3,0,"JOD","Jordanian dinars"
"¥","Japanese Yen","￥",0,0,"JPY","Japanese yen"
"Ksh","Kenyan Shilling","Ksh",2,0,"KES","Kenyan shillings"
"KHR","Cambodian Riel","៛",2,0,"KHR","Cambodian riels"
"CF","Comorian Franc","FC",0,0,"KMF","Comorian francs"
"₩","South Korean Won","₩",0,0,"KRW","South Korean won"
"KD","Kuwaiti Dinar","د.ك.‏",3,0,"KWD","Kuwaiti dinars"
"KZT","Kazakhstani Tenge","тңг.",2,0,"KZT","Kazakhstani tenges"
"L.L.","Lebanese Pound","ل.ل.‏",0,0,"LBP","Lebanese pounds"
"SLRs","Sri Lankan Rupee","SL Re",2,0,"LKR","Sri Lankan rupees"
"Lt","Lithuanian Litas","Lt",2,0,"LTL","Lithuanian litai"
"Ls","Latvian Lats","Ls",2,0,"LVL","Latvian lati"
"LD","Libyan Dinar","د.ل.‏",3,0,"LYD","Libyan dinars"
"MAD","Moroccan Dirham","د.م.‏",2,0,"MAD","Moroccan dirhams"
"MDL","Moldovan Leu","MDL",2,0,"MDL","Moldovan lei"
"MGA","Malagasy Ariary","MGA",0,0,"MGA","Malagasy Ariaries"
"MKD","Macedonian Denar","MKD",2,0,"MKD","Macedonian denari"
"MMK","Myanma Kyat","K",0,0,"MMK","Myanma kyats"
"MOP$","Macanese Pataca","MOP$",2,0,"MOP","Macanese patacas"
"MURs","Mauritian Rupee","MURs",0,0,"MUR","Mauritian rupees"
"MX$","Mexican Peso","$",2,0,"MXN","Mexican pesos"
"RM","Malaysian Ringgit","RM",2,0,"MYR","Malaysian ringgits"
"MTn","Mozambican Metical","MTn",2,0,"MZN","Mozambican meticals"
"N$","Namibian Dollar","N$",2,0,"NAD","Namibian dollars"
"₦","Nigerian Naira","₦",2,0,"NGN","Nigerian nairas"
